scientific_name,name_da,status,source,license,attribution,issues,recommendations
"Buteo buteo","Musvåge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Buteo%20buteo; Document original source or replace with properly attributed image"
"Buteo lagopus","Fjeldvåge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Buteo%20lagopus; Document original source or replace with properly attributed image"
"Accipiter nisus","Spurvehøg","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Accipiter%20nisus; Document original source or replace with properly attributed image"
"Accipiter gentilis","Duehøg","critical","inaturalist","cc-by-nc","(c) Luigi Andena, some rights reserved (CC BY-NC), uploaded by Luigi Andena","Non-commercial license (blocks commercial use)","Replace with CC-BY or CC0 licensed image"
"Falco tinnunculus","Tårnfalk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Falco%20tinnunculus; Document original source or replace with properly attributed image"
"Falco columbarius","Dværgfalk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Falco%20columbarius; Document original source or replace with properly attributed image"
"Falco peregrinus","Vandrefalk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Falco%20peregrinus; Document original source or replace with properly attributed image"
"Falco subbuteo","Lærkefalk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Falco%20subbuteo; Document original source or replace with properly attributed image"
"Haliaeetus albicilla","Havørn","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Haliaeetus%20albicilla; Document original source or replace with properly attributed image"
"Milvus milvus","Rød glente","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Milvus%20milvus; Document original source or replace with properly attributed image"
"Milvus migrans","Sort glente","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Milvus%20migrans; Document original source or replace with properly attributed image"
"Circus aeruginosus","Rørhøg","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Circus%20aeruginosus; Document original source or replace with properly attributed image"
"Circus cyaneus","Blå kærhøg","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Circus%20cyaneus; Document original source or replace with properly attributed image"
"Pernis apivorus","Hvepsevåge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Pernis%20apivorus; Document original source or replace with properly attributed image"
"Pandion haliaetus","Fiskeørn","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Pandion%20haliaetus; Document original source or replace with properly attributed image"
"Tyto alba","Slørugle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Tyto%20alba; Document original source or replace with properly attributed image"
"Strix aluco","Natugle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Strix%20aluco; Document original source or replace with properly attributed image"
"Asio otus","Skovhornugle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Asio%20otus; Document original source or replace with properly attributed image"
"Asio flammeus","Mosehornugle","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Asio%20flammeus; Document original source or replace with properly attributed image"
"Larus argentatus","Sølvmåge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Larus%20argentatus; Document original source or replace with properly attributed image"
"Larus canus","Stormmåge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Larus%20canus; Document original source or replace with properly attributed image"
"Chroicocephalus ridibundus","Hættemåge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Chroicocephalus%20ridibundus; Document original source or replace with properly attributed image"
"Larus marinus","Svartbag","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Larus%20marinus; Document original source or replace with properly attributed image"
"Larus fuscus","Sildemåge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Larus%20fuscus; Document original source or replace with properly attributed image"
"Rissa tridactyla","Ride","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Rissa%20tridactyla; Document original source or replace with properly attributed image"
"Hydrocoloeus minutus","Dværgmåge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Hydrocoloeus%20minutus; Document original source or replace with properly attributed image"
"Ichthyaetus melanocephalus","Sorthovedet måge","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Ichthyaetus%20melanocephalus; Document original source or replace with properly attributed image"
"Sterna hirundo","Fjordterne","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Sterna%20hirundo; Document original source or replace with properly attributed image"
"Sterna paradisaea","Havterne","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Sterna%20paradisaea; Document original source or replace with properly attributed image"
"Sternula albifrons","Dværgterne","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Sternula%20albifrons; Document original source or replace with properly attributed image"
"Thalasseus sandvicensis","Splitterne","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Thalasseus%20sandvicensis; Document original source or replace with properly attributed image"
"Hydroprogne caspia","Rovterne","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Hydroprogne%20caspia; Document original source or replace with properly attributed image"
"Chlidonias niger","Sortterne","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Chlidonias%20niger; Document original source or replace with properly attributed image"
"Uria aalge","Lomvie","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Uria%20aalge; Document original source or replace with properly attributed image"
"Alca torda","Alk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Alca%20torda; Document original source or replace with properly attributed image"
